bins,freq
CL50,196649.7624
CL55,71067.42736
CL60,107548.2413
CL65,84663.22489
CL70,82845.032
CL75,73623.59975
CL80,67827.23911
CL85,61293.11212
CL90,54788.00962
CL95,48794.28326
CL100,43562.83014
CL105,38325.68407
CL110,33710.55072
CL115,29821.71753
CL120,26258.16263
CL125,22867.05486
CL130,19964.46083
CL135,17077.98853
CL140,14631.14281
CL145,12324.51035
CL150,10307.29189
CL155,8547.002847
CL160,7027.261312
CL165,5714.837721
CL170,4683.155583
CL175,3729.317704
CL180,2979.154777
CL185,2377.828298
CL190,1996.530956
CL195,1823.723153
CL200,3111.71925
